id,rotulo,texto
2472,VERDADE,a man and a woman standing next to each other . a man and a woman are standing together . a man and a woman are standing together
3266,VERDADE,a man in a suit and tie holding a camera . a man in a suit and tie holding a camera a man in a suit and tie is holding a knife .
3512,VERDADE,a close up of a pair of scissors a close up of a person holding a pair of scissors a close up of a pair of scissors on a table
3303,VERDADE,a train station with a train on the tracks . a train station with a train on the tracks a train station with a train passing by
3322,VERDADE,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit and tie standing in front of a microphone .
3455,FALSO,a close up of a street sign with a sky background a close up of a sign on a pole a close up of a sign on a building
142,VERDADE,a man sitting in a chair with a hat on . a man sitting on a couch with a laptop . a man sitting on a couch with a hat on .
1356,VERDADE,a person laying on a bed with a blanket . a person laying on a bed with a blanket a person laying on a bed with a book .
2855,VERDADE,a group of people standing in a room . a group of people standing in a room with remotes . a group of people standing around a table with a cake .
3329,VERDADE,a tree with a bunch of green leaves on it a tree with a bunch of green leaves in it a tree with a bunch of leaves on it
1134,VERDADE,a pair of scissors sitting on top of a table . a pair of scissors sitting on top of a wooden table . a close up of a pair of scissors on a table
3461,VERDADE,a man in a suit and tie holding a bat . a man in a suit and tie holding a bat a man in a blue shirt and tie standing in a field .
230,FALSO,a man is holding a dog in the water . a man is holding a dog in the water a man in a boat with a dog
3281,VERDADE,a person holding a pair of scissors in their hands . a person is holding a pair of scissors a man is holding a pair of scissors
795,VERDADE,a woman is cutting into a piece of cake . a woman is eating a piece of cake . a woman is cutting into a cake with a knife .
2446,VERDADE,a woman sitting on a chair in a room . a woman sitting on a chair in a living room . a woman sitting on a chair in front of a window .
3607,VERDADE,a man standing in front of a sign on a stage . a man standing in front of a sign with a clock on it . a man standing in front of a sign on a stage
3730,VERDADE,a police car parked on the side of the road . a police car parked on the side of a street . a police car parked on the side of a road .
1581,VERDADE,a group of people sitting around a table . a group of people standing in a room . a group of people standing in a room
937,VERDADE,a man standing next to a red and white horse . a man standing next to a man on a horse . a man standing next to a man on a dirt road .
880,FALSO,a small bird perched on top of a tree branch . a small bird perched on a tree branch . a small bird perched on a tree branch
604,VERDADE,a woman holding a teddy bear in her arms . a woman is holding a teddy bear in her arms . a woman holding a teddy bear in her arms
1320,VERDADE,a man standing in front of a display of food . a man standing in front of a pile of food . a man standing in front of a display of food
1583,VERDADE,a group of people sitting around a table . a group of people sitting around a table with food . a group of people sitting at a table with plates of food .
2100,VERDADE,a group of people walking down a street . a group of people walking down a street next to tall buildings . a group of people walking down a street next to a building .
2386,VERDADE,a black and white photo of a baseball team . a black and white photo of a baseball team a black and white photo of a group of children .
2634,VERDADE,a group of people standing in a room . a group of people standing in a living room . a group of people standing in a room with remotes .
51,VERDADE,a group of people sitting at a table with laptops . a group of people sitting around a laptop computer . a group of people sitting around a table with laptops .
3297,VERDADE,a large white boat sitting on top of a body of water . a large white boat sitting on top of a beach . a large ship is docked at a dock
3801,VERDADE,a teddy bear sitting on top of a table . a teddy bear sitting on top of a red fire hydrant . a teddy bear sitting on top of a table
318,VERDADE,a horse standing in the middle of a field . a horse standing in the middle of a field a horse standing in the middle of a dirt road .
502,VERDADE,a man holding a plate of food on top of a table . a man holding a plate of food in front of him . a man holding a plate of food in front of a building .
895,VERDADE,a man standing in front of a box of donuts . a man standing in front of a table filled with donuts . a man standing in front of a table filled with food .
3376,FALSO,a man in a suit and tie standing in a room . a man in a suit and tie standing in front of a microphone . a man in a suit and tie holding a microphone .
3528,VERDADE,a group of people walking down a street . a group of people walking down a street next to tall buildings . a group of people walking down a street next to a building .
1732,VERDADE,a group of people standing next to each other . a group of people standing next to each other in a room . a group of people standing next to each other in front of a tv .
1043,VERDADE,a close up of a pair of scissors a close up of a person holding a pair of scissors a close up of a pair of scissors on a table
1370,VERDADE,a close up of a nintendo wii remote a close up of a nintendo wii game system a cell phone sitting on top of a table .
1440,VERDADE,a large clock tower towering over a city . a clock tower in the middle of a city . a clock tower in the middle of a city
2901,VERDADE,a close up of a person holding an open umbrella a close up of a person holding a pair of scissors a close up of a tooth brush in a glass
1842,FALSO,a woman in a white shirt holding a white frisbee . a woman in a white shirt holding a white frisbee a woman in a white shirt and black tie sitting on a bed .
1484,VERDADE,a white car parked next to a parking meter . a white car is parked on the side of the road . a white car is parked on the side of the street .
3882,VERDADE,a man and a woman posing for a picture . a man and a woman pose for a picture . a man and a woman posing for a picture
1702,FALSO,a man sitting in front of a laptop computer . a man sitting in front of a laptop computer a man sitting in front of a laptop computer on a desk .
3113,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie standing in a room . a man in a suit and tie standing in front of a microphone .
3255,FALSO,a close up of a sign with a bunch of stickers on it a close up of a sign with many different things a close up of a sign with a bunch of stickers
1450,VERDADE,a train traveling over a bridge over a river . a train traveling over a bridge over water . a train traveling over a bridge over a lake .
1623,VERDADE,a blue and white bus parked in front of a building . a blue and white bus parked next to a building . a blue and white bus parked in front of a brick building .
2277,VERDADE,a group of people standing next to a truck . a group of people sitting on a bench under an umbrella . a group of people sitting on a bench under a blue umbrella .
2503,VERDADE,a woman sitting in a chair with a laptop on her lap . a woman sitting in a chair with a laptop in her lap . a woman sitting in a chair with a laptop in her hand .
3746,VERDADE,a man in a suit and tie standing in a room . a man in a suit and tie is smiling . a man in a suit and tie standing in front of a mirror .
1206,FALSO,a man holding a dog in his arms . a man and a woman holding a dog . a man holding a dog in his arms
894,VERDADE,a bird is sitting on a tree branch . a bird is sitting on a tree branch a bird is sitting on a branch in a tree .
2059,VERDADE,a street sign on the side of a road . a street sign on the side of the road . a street sign on the side of the road
2407,VERDADE,a man holding a tennis racquet on a tennis court . a man holding a tennis racquet on top of a tennis court . a man holding a tennis racquet on a court .
3965,FALSO,a man in a suit is holding a microphone . a man in a suit is holding a microphone a man in a suit and tie holding a microphone .
365,VERDADE,a close up of a clock on a wall a clock that is on top of a table . a close up of a clock on a table
1571,VERDADE,a large truck is driving down the road . a large truck is driving down the road a large truck is driving down the street .
1956,VERDADE,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit is holding a microphone
2796,VERDADE,a man in a suit and tie holding a microphone . a man in a suit and tie standing in front of a microphone . a man in a suit and tie holding a microphone
3487,FALSO,a close up of a person holding a sign a close up of a person holding a cell phone a close up of a person holding a pair of scissors
315,VERDADE,a panda bear sitting on a tree branch a black and white panda bear sitting in a tree . a black and white panda bear sitting in a field .
3105,VERDADE,a group of people standing on top of a stage . a group of people standing on top of a basketball court . a group of people standing in front of a building .
3629,VERDADE,a close up of a street sign with a sky background a close up of a street sign on a pole a close up of a street sign with a building in the background
743,VERDADE,a table with chairs and umbrellas on it a table with chairs and umbrellas on it . a table with chairs and a table with umbrellas .
1251,VERDADE,a wooden bench sitting in front of a window . a wooden bench sitting in front of a tree . a wooden bench sitting in front of a wooden fence .
1568,VERDADE,a man standing next to a white and blue truck . a man standing next to a red and white truck . a man standing next to a red and white fire hydrant .
1707,VERDADE,a couple of giraffe standing next to each other . a couple of giraffe standing next to a fence . a giraffe standing next to a wooden fence .
3002,VERDADE,a man and a woman playing a video game . a man and a woman playing a video game a man and a woman are playing a video game
1302,FALSO,a cup of coffee sitting next to a computer keyboard . a cup of coffee sitting next to a laptop computer . a cup of coffee sitting on top of a table .
570,VERDADE,a man standing in a kitchen preparing food . a man standing in a kitchen next to a counter . a man standing in front of a counter in a kitchen .
2601,VERDADE,a group of people walking down a street . a group of people walking down a sidewalk . a group of people walking down a street next to tall buildings .
2821,VERDADE,a building with a clock on the side of it a large building with a clock on the side of it . a building with a clock on the side of it .
2979,FALSO,a white cat laying on top of a bed . a white cat laying on top of a wooden floor . a white cat laying on top of a white blanket .
634,VERDADE,a man is riding a bike with a basket on it . a man is riding a bicycle with a basket on it . a man riding a bike with a basket of bananas on it .
3223,VERDADE,a man is holding a banana in his hand . a man is holding a banana in his hand a man is holding a skateboard in his hand .
3628,VERDADE,a stop sign on the side of the road . a stop sign on the side of a road . a stop sign on the corner of a street .
152,FALSO,a man in a suit and tie is smiling . a man in a suit and tie is smiling a man in a suit and tie is smiling for the camera .
3534,FALSO,a collage of photos with a person holding a frisbee a collage of photos with a person holding a tennis racket a collage of photos with a person holding a pair of scissors
1085,VERDADE,a black and white photo of a clock tower . a black and white photo of a clock tower a black and white picture of a clock tower .
1161,VERDADE,a flock of birds standing on top of a lush green field . a flock of birds sitting on top of a lush green field . a flock of birds standing on top of a grass covered field .
1880,VERDADE,a black and white photo of a group of people on a street . a black and white photo of a group of people standing near a truck . a black and white photo of a group of people in a military uniform .
1383,FALSO,a little girl is holding a teddy bear . a little girl is holding a teddy bear a little girl holding a teddy bear in her arms .
2644,FALSO,a close up of a person wearing a suit and tie a close up of a person holding a cell phone a close up of a person holding a pair of scissors
137,VERDADE,a man and woman standing next to each other . a man and a woman standing next to each other . a man and woman standing next to each other on a street .
1802,VERDADE,a close up of a bunch of green bananas a close up of a bunch of green leaves a close up of a bunch of bananas
1996,VERDADE,a group of men standing in a kitchen . a group of men standing around a kitchen . a group of men standing in a kitchen next to each other .
2512,VERDADE,a person holding a pair of scissors in their hands . a person is holding a pair of scissors . a person is holding a pair of scissors
1342,FALSO,a birthday cake with candles on top of it . a birthday cake with candles on top of it a birthday cake with candles on top of a cake .
3451,FALSO,a sign that is on the side of a building . a sign that is on the side of a wall . a sign that is on the side of a street .
3854,FALSO,a group of people standing in a room . a group of people standing in front of a christmas tree . a group of people standing in front of a building .
348,VERDADE,a man sitting in front of a laptop computer . a man sitting at a table with a laptop . a man sitting at a desk with a laptop .
3373,VERDADE,a train station with a train on the tracks . a train station with a train on the tracks a group of people standing around a train station .
3578,VERDADE,a man in a suit is holding a glass of wine . a man in a suit and tie holding a glass of wine . a man in a suit is holding a glass
1628,FALSO,a black and white photo of a group of people on a street . a black and white photo of a group of people on a beach . a black and white photo of a group of people on a beach
1769,FALSO,a pair of scissors sitting on top of a table . a pair of scissors sitting on a table . a close up of a pair of scissors
885,VERDADE,a close up of a stop sign with a sky background a close up of a tennis court with a racket a close up of a tennis court with a tennis racket
3935,VERDADE,a bench on a beach near a body of water a bench sitting on a beach next to the ocean . a bench sitting on a beach next to a body of water .
329,VERDADE,a crowd of people standing outside of a building . a crowd of people standing in front of a building . a crowd of people standing in front of a tall building .
819,VERDADE,a small boat in a body of water a small boat in the water near a dock . a small boat in the water near a city .
1078,VERDADE,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling
1677,VERDADE,a close up of a pair of scissors a close up of a pair of scissors on a table a close up of a clock on a wall
3234,VERDADE,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit and tie standing in front of a crowd .
1927,FALSO,a teddy bear sitting on top of a table . a teddy bear sitting on top of a shelf . a teddy bear is sitting on a table
514,VERDADE,a red stop sign sitting on the side of a road . a red stop sign sitting on the side of a street . a red stop sign sitting next to a street sign .
620,VERDADE,a group of people standing on top of a street . a group of people standing on top of a field . a group of people standing on top of a grass covered field .
1632,VERDADE,a man wearing a tie and a white shirt . a man with a beard and a tie . a man wearing a tie and a shirt .
1651,VERDADE,"a desk with a computer monitor , keyboard and mouse . a desk with a computer monitor and keyboard a desk with a computer monitor and a keyboard"
2113,VERDADE,a table topped with different types of cakes . a table topped with lots of different types of cake . a table topped with lots of different types of cakes .
3054,VERDADE,a woman in a white shirt and black tie a woman in a white shirt and a black tie a woman in a red shirt and a black tie
2780,VERDADE,a person holding a pair of scissors in their hands . a person holding a cell phone in their hand . a person is holding a pair of scissors
3678,VERDADE,a woman in a white shirt and black tie a woman in a white shirt and tie a woman in a black shirt and a black tie
39,VERDADE,a group of people sitting on a bench . a group of people sitting on a park bench . a group of people sitting on a bench
1561,VERDADE,an open refrigerator with food inside of it . an open refrigerator with food inside of it an open refrigerator with a lot of food inside .
1690,VERDADE,a large pool with a table and chairs a pool with a table and chairs and a table a pool with a table and chairs and an umbrella
128,VERDADE,a young boy is sitting on a skateboard . a young boy is sitting on a skateboard a young boy sitting on a chair in a room .
360,VERDADE,a black and white photo of a dog wearing a hat . a black and white dog wearing a hat and sunglasses . a black and white photo of a dog wearing a hat
612,VERDADE,a close up of a pair of scissors a pair of scissors sitting on top of a table . a close up of a pair of scissors on a table
1116,VERDADE,a close up of a pair of scissors a close up of a pair of scissors on a table a close up of a stuffed animal on a table
1814,VERDADE,a man is standing in front of a mirror a man is standing in front of a mirror . a man standing in front of a mirror with a toothbrush .
1824,VERDADE,a man in a suit and tie holding a glass of wine . a man in a suit and tie holding a glass . a man in a suit and tie holding a glass
3977,VERDADE,a woman holding a cell phone up to her ear . a woman holding a cell phone in her hand . a woman holding a cell phone up to her ear
1480,FALSO,a close up of a bunch of carrots a close up of a bunch of green bananas a close up of a bunch of different vegetables
238,VERDADE,a herd of cattle standing on top of a dirt field . a herd of cattle standing on top of a sandy beach . a herd of cattle standing on top of a grass covered field .
1572,VERDADE,a man holding a smart phone in his right hand . a man holding a cell phone in his hand . a man holding a cell phone in his hands .
440,FALSO,a woman standing in a kitchen next to a sink . a woman standing in a kitchen next to a counter . a woman standing in a kitchen next to a stove top oven .
3757,FALSO,a clock tower in the middle of a city . a clock tower in the middle of a city a tall building with a clock on the top of it .
481,VERDADE,a red and white vase with a red flower in it . a red and white vase with a red flower on it . a red and white vase with a red flower in it
1747,VERDADE,a man in a suit and tie standing in front of a building . a man in a suit and tie standing next to a woman . a man in a suit and tie standing in front of a store .
2304,VERDADE,a group of people walking down a street . a group of people walking down the street a group of people walking down a street next to tall buildings .
956,FALSO,a man holding a nintendo wii game controller . a young boy holding a nintendo wii game controller . a man holding a nintendo wii game controller in a living room .
1575,FALSO,a young boy eating a piece of pizza . a young boy eating a donut with sprinkles . a young boy eating a piece of food .
225,VERDADE,a close up of a stop sign with a sky background a close up of a vandalized stop sign a close up of a vandalized stop sign with a sky background
391,VERDADE,a woman riding on the back of a motorcycle . a woman riding on the back of a truck . a woman riding on the back of a car .
2375,VERDADE,a group of people sitting around a table . a group of people sitting at a table with laptops . a group of people sitting around a table with a laptop .
2875,VERDADE,a group of people standing around a kitchen . a group of people standing around a room . a group of people standing around a kitchen
349,VERDADE,a woman standing on a beach holding a surfboard . a woman standing on the beach holding a surfboard . a woman in a wet suit carrying a surfboard .
2588,VERDADE,a group of people that are standing in the street . a group of people that are standing in front of a store . a group of people that are standing in a room .
2641,VERDADE,a group of birds sitting on top of a table . a bunch of birds that are sitting on a table a bunch of birds that are sitting on a table .
1771,FALSO,a man in a suit and tie standing in a room . a man in a suit and tie standing in front of a wall . a man in a suit and tie standing in front of a microphone .
423,VERDADE,a pair of scissors sitting on top of a table . a pair of scissors sitting on top of a piece of paper . a pair of scissors sitting on top of a table
2468,VERDADE,a group of people standing around a bus . a group of people standing around a luggage carousel . a group of people standing around a luggage cart .
1357,VERDADE,a man in a suit and tie holding a cell phone . a man in a suit and tie holding a microphone . a man in a suit and tie holding a cell phone
3860,VERDADE,a group of men standing next to each other . a group of young men standing next to each other . a group of men standing next to each other in a room .
22,FALSO,a man in a suit and tie standing in front of a building . a man in a suit and tie standing next to a building . a man in a suit and tie standing in front of a store .
846,FALSO,a woman holding a surfboard on a beach . a woman holding a surfboard on top of a beach . a man holding a surfboard on a beach .
1826,FALSO,a collage of photos with a sign that says <UNK> . a collage of photos with a sign that says <UNK> a collage of photos with a sign that reads `` <UNK> '' .
2355,FALSO,a collage of photos of a person holding a pair of scissors a collage of pictures of a person holding a pair of scissors a collage of photos of a person holding a pair of scissors .
79,VERDADE,a bunch of cars that are parked in a lot a bunch of cars are parked in a lot a bunch of cars that are on a road
1706,VERDADE,a close up of a cake on a table a close up of a cake on a plate a close up of a plate of food on a table
3680,VERDADE,a cat is sitting on the ground next to a fire hydrant . a cat is sitting on the ground next to a yellow fire hydrant . a cat is sitting on the ground next to a red fire hydrant .
3047,FALSO,a man wearing a tie and a hat . a man wearing a hat and a tie . a man wearing a tie and a hat
146,VERDADE,a large building with a clock on the front of it . a large building with a clock on it a large building with a clock on the top of it .
951,VERDADE,a bowl of food that is sitting on a table . a bowl of food that is on a table . a bowl of food sitting on a table .
3740,VERDADE,a man riding a motorcycle down a street . a motorcycle parked on the side of a street . a motorcycle parked on the side of a road .
668,VERDADE,a man in a suit and tie is smiling . a man in a suit and tie is smiling a man in a suit and tie standing in a room .
3822,VERDADE,a group of people sitting around a table . a group of people sitting around a wooden table . a group of people sitting around a table with food .
451,VERDADE,a bunch of different types of food on a table . a bunch of different types of food on a table a pile of different types of food sitting on top of a table .
1891,VERDADE,a young boy sitting on a bed with a laptop . a little boy sitting on a bed with a laptop . a young boy sitting in a chair with a laptop .
2629,VERDADE,a woman petting a horse in a stable . a woman petting a horse in a stable a woman petting a horse in a stall .
2652,VERDADE,a group of people standing next to each other . a group of people standing in front of a building . a group of people standing next to each other in a parking lot .
2703,VERDADE,a dog is looking at the camera in a mirror . a dog that is laying down on a bed . a dog that is laying down on a couch .
690,VERDADE,a truck driving down a road next to a herd of sheep . a truck driving down a road next to a herd of cattle . a truck driving down the road with a herd of sheep .
1783,VERDADE,a large white bird sitting on top of a wooden table . a large white bird sitting on top of a table . a large white bird sitting on top of a wooden bench .
696,VERDADE,a close up of a luggage bag on the ground a close up of a luggage bag on a table a close up of a luggage bag on a luggage rack
1162,VERDADE,a black and white photo of a plane flying in the sky . a black and white photo of a plane flying in the sky a black and white photo of a black and white photo
1243,VERDADE,a close up of a cup of coffee on a table a close up of a cup of coffee a close up of a coffee cup on a table
639,FALSO,a close up of a vase with flowers in it a close up of a vase with a flower in it a close up of a vase with flowers
3134,FALSO,a black and white photo of a group of people . a black and white photo of a group of people a black and white photo of two men and a woman .
96,VERDADE,a woman standing in front of a store front . a woman standing in front of a building with a sign . a woman standing in front of a store with a sign on it .
164,VERDADE,a black and white dog laying on top of a bed . a black and white dog laying on a bed . a black and white dog laying on top of a blanket .
1139,VERDADE,a group of people standing next to each other . a group of people posing for a picture . a group of people posing for a picture
1230,VERDADE,a white plate topped with a piece of cake . a white plate topped with a slice of cake . a white plate topped with a piece of cake and a fork .
2200,VERDADE,a group of young men playing a game of frisbee . a group of men playing a game of frisbee . a group of young men playing a game of soccer .
3268,VERDADE,a pair of scissors sitting on top of a table . a pair of scissors sitting on top of a wooden table . a pair of scissors sitting on top of a piece of paper .
977,VERDADE,a woman holding a dog in her arms . a woman is holding a dog in her lap a woman is holding a dog in her arms
1258,VERDADE,a man and a woman standing next to each other . a couple of people that are standing next to a fence a man and a woman standing next to each other in a field .
2397,VERDADE,a group of people standing next to each other . a group of people posing for a picture . a group of people posing for a picture
2496,VERDADE,a tree with a bunch of green leaves on it a tree with a bunch of green leaves on it . a tree with a bunch of green leaves in it
2854,VERDADE,a man in a suit and tie standing in front of a microphone . a man in a suit and tie standing in a room . a man in a suit and tie standing in a room
935,FALSO,a black and white photo of a man and a dog . a black and white photo of a man and a dog a black and white photo of a man in a suit .
197,VERDADE,a white and black vase with some flowers in it a white and black vase with some flowers in it . a white and black vase with some flowers on it
495,VERDADE,a man in a suit and tie sitting on a train . a man in a suit and tie sitting in a train . a man in a suit and tie standing in front of a mirror .
2746,VERDADE,a group of young people sitting on a couch . a group of people sitting on a couch playing a game . a group of people sitting on a couch playing a video game .
2889,VERDADE,a group of young people sitting on a couch . a group of people sitting on a couch with a dog . a group of people sitting on a couch with a teddy bear .
3192,VERDADE,a picture of a man in a suit and tie . a picture of a man in a suit and tie a man in a suit and tie holding a microphone .
3863,VERDADE,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling
1255,FALSO,a man sitting in front of a laptop computer . a man sitting at a table with a laptop . a man sitting at a table with a laptop computer .
1295,FALSO,a group of men standing next to each other . a group of men standing next to each other in front of a building . a group of men standing next to each other on a stage .
1389,FALSO,a collage of photos of a picture of a bird . a collage of photos of a picture of a bird a collage of photos of a picture of a man and a woman .
3315,FALSO,a vase with flowers sitting on a table . a vase with flowers in it sitting on a table . a vase with flowers sitting on a table
1150,VERDADE,a close up of a vase with a flower in it a close up of a glass vase with flowers in it a close up of a vase with a flower
1587,VERDADE,a close up of a cell phone on a table a close up of a nintendo wii remote a close up of a blender on a counter
3076,VERDADE,a man and woman are talking on cell phones . a man and a woman are talking on cell phones . a man and a woman are looking at their cell phones .
3189,VERDADE,a collage of photos with a dog and a sign a collage of photos of a person holding a sign a collage of photos of a person holding a teddy bear
3335,VERDADE,a flock of birds flying through a cloudy sky . a flock of birds flying over a snow covered mountain . a flock of birds flying through a cloudy blue sky .
3764,VERDADE,a group of people sitting on a park bench . a group of people sitting around a table eating food . a group of people sitting on a park bench
3805,VERDADE,a man in a suit and tie standing next to a woman . a man in a suit and tie standing next to another man . a man in a suit and tie holding a microphone
593,FALSO,a collage of photos of a person holding a wii remote a collage of photos of a man holding a wii remote a collage of photos of a man holding a wii remote .
2248,FALSO,a dog sitting on a table next to a wine glass . a dog sitting on a table next to a glass of wine . a dog sitting on a table next to a wine glass
566,VERDADE,a person holding a toothbrush in their hand . a man holding a toothbrush in his mouth . a man holding a toothbrush in his hand .
1958,VERDADE,a small dog is playing with a toy . a small dog is playing with a frisbee . a small dog is playing with a toy
2036,VERDADE,a man holding a pair of scissors in his hands . a woman is holding a pair of scissors . a man holding a pair of scissors in his hand .
2500,VERDADE,a stop sign that has been vandalized with graffiti . a stop sign that has a sticker on it . a stop sign with a street sign on it .
2844,VERDADE,a couple of animals that are standing in the dirt . a couple of animals that are standing in the grass . a couple of animals that are walking down a road
3317,VERDADE,a man and a woman sitting at a table . a man and a woman are sitting at a table . a man and a woman are sitting at a table
205,FALSO,a man is standing in front of a mirror a man is standing in front of a television . a man is standing in front of a mirror .
2887,FALSO,a man standing in front of a brick building . a man standing in front of a brick wall . a man standing in front of a building with a skateboard .
89,VERDADE,a person holding a pair of scissors in their hands . a person holding a pair of scissors in their hand . a woman is holding a pair of scissors .
524,VERDADE,a tall building with a clock on it a very tall building with a clock on it . a very tall building with a clock on it 's side .
686,VERDADE,a close up of a tv on a table a close up of a tv on a wall a close up of a tv on a desk
768,VERDADE,a street sign on the side of a road . a street sign on the side of the road . a street sign on the side of the road
823,VERDADE,a close up of a bottle of beer next to a bottle a close up of a bottle of wine and a bottle a close up of a bottle of beer next to a pair of scissors
939,VERDADE,a statue of a man sitting on a bench . a statue of a man sitting on top of a bench . a statue of a man sitting on top of a stone bench .
1042,VERDADE,a group of men standing next to each other . a group of people standing around a table . a group of men standing next to each other at a table .
2458,FALSO,a collage of photos with a sign and a sign a collage of photos with a sign and a sign . a collage of photos with a sign that reads `` <UNK> '' .
1099,VERDADE,a person holding a pair of scissors in their hands . a person is holding a pair of scissors . a person is holding a pair of scissors
1491,VERDADE,a man and a woman holding a dog on a leash . a man and a dog are sitting on a bench . a man and a dog are sitting on a bench
1742,VERDADE,a close up of a sign with a sign on it a close up of a street sign with a sign on it a close up of a street sign with a sign
2246,VERDADE,a colorful umbrella sitting on top of a table . a colorful umbrella sitting on top of a white table . a colorful umbrella sitting on top of a blue table .
3301,VERDADE,a plastic container filled with lots of different items . a plastic container filled with lots of different types of food . a plastic container filled with lots of different types of items .
3952,VERDADE,a group of men standing next to each other . a group of men in suits and ties . a group of men standing next to each other in a room .
1896,VERDADE,a group of people sitting around a table . a group of people sitting around a table with laptops . a group of people in a room with a lot of luggage .
3074,VERDADE,a person riding a surf board on a wave a person on a surfboard riding a wave . a person riding a surf board on a body of water
1475,FALSO,a man in a suit and tie holding a cell phone . a man in a suit and tie standing next to a woman . a man in a suit and tie holding a cell phone
728,VERDADE,a man in a suit and tie is smiling . a man in a suit and tie standing in front of a microphone . a man in a suit and tie is smiling
2288,VERDADE,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling
2767,VERDADE,a man in a suit and tie standing in a room . a man in a suit and tie standing in front of a mirror . a man in a suit and tie standing in front of a window .
3500,VERDADE,a man in a tie is holding a cell phone . a man in a suit and tie holding a cell phone . a man in a tie is holding a cell phone
3886,VERDADE,a woman standing in front of a pile of luggage . a woman standing in front of a display of luggage . a woman standing in front of a store display .
3914,VERDADE,a glass vase with some flowers in it a glass vase with some flowers inside of it a glass of water is sitting on a table .
1152,FALSO,a black and white photo of a man in a suit . a black and white photo of a man in a suit a black and white photo of a man in a suit and tie
2651,FALSO,a group of people standing next to each other . a group of people standing next to each other holding surfboards . a group of people standing next to each other on a stage .
3244,FALSO,a man flying a kite in a cloudy sky . a man flying a kite in the sky . a man flying a kite in a cloudy blue sky .
3441,FALSO,a group of surfboards sitting on top of a beach . a group of surfboards sitting on top of a sandy beach . a group of surfboards sitting on top of a wooden floor .
